Order,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
0,1.55,11.36,13850000000,3.2,54.36,8/2/2011 6:45,-2.492012939,2.52,11.89,85.2,13850000000,11.89,2.25,12.44,2930000000,0.25,82.1,13850000000,89000000,14.8,0.63,40,3.71,2.38,14.46,6.94,27,2.25,31.9,17.77,1254.050049,436000,1.4,1.2,underperform,a,2980000000,8.55,2150000000,16.18,1312281937,10.86701294,8.375
1,1.66,15.41,1320000000,2.55,44.12,5/14/2013 0:28,-31.13444021,3.13,10.75,22.2,15060000000,10.75,2.18,13.08,3600000000,0.23,83.2,15060000000,1100000000,15.69,2.07,43,2.83,2.19,15.96,6.85,22.38,2.18,2.8,19.85,1650.339966,437000,1.3,1.2,underperform,a,2450000000,7.06,2360000000,13.75,1368505738,45.90188207,14.76744186
2,1.81,14.46,1260000000,2.96,56.39,9/6/2013 6:09,-24.30761899,2.69,11.93,30.9,15860000000,11.93,2.32,15.09,3600000000,0.23,83.5,15860000000,93800000,14.04,2.16,47,3.31,2.32,13.73,5.98,19.41,2.32,4.1,19.8,1655.170044,278000,0.8,1.2,underperform,a,2330000000,7.04,2700000000,17.74,1378462192,46.32889559,22.0212766
3,1.808,14.078,2530000000,1.374,0.595,4/13/2004 4:20,0,1.375,10.8,53.7,36340000000,10.8,1.65,12.98,4020000000,1,79.36,29780000000,1190000000,8.44,1.26,34.26,2.41,1.33,6.4,4.52,10.66,1.65,11.4,25.638,1129.439941,1254000,1.46,2.497,underperform,aa,45900000,0.53,7310000000,24.92,1081844410,0,0
4,1.676,14.049,1780000000,1.372,0.561,9/9/2004 16:15,-3.186159081,1.575,9.7,53.7,35240000000,9.7,1.56,12.75,4020000000,1,76.64,28610000000,1370000000,9.46,1.43,32.89,2.34,1.26,7.04,5.08,11.87,1.56,11.4,25.984,1118.380005,778000,0.9,1.935,underperform,aa,46600000,0.54,6880000000,20.88,1094760945,-0.979240737,-4.165399818
5,1.736,14.36,2140000000,1.293,0.53,11/24/2004 10:37,-6.657405431,1.588,9.53,53.7,35370000000,9.53,1.52,13.49,4020000000,1.04,77.19,29230000000,1390000000,9.57,1.47,33.58,2.34,1.26,7.01,5.13,11.58,1.52,11.4,26.536,1181.76001,991000,1.15,2.209,underperform,aa,56100000,0.64,6650000000,21.15,1101310640,4.632390542,-2.02501489
6,1.736,14.36,2140000000,1.293,0.53,12/5/2004 0:36,-9.651668001,1.588,9.36,53.7,34750000000,9.36,1.49,13.2,4020000000,1.04,77.11,28600000000,1390000000,9.57,1.5,32.86,2.33,1.25,7.01,5.13,11.58,1.49,11.4,26.536,1190.329956,991000,1.15,2.209,underperform,aa,56100000,0.64,6650000000,20.69,1102225002,5.391168914,-4.260499087
7,1.611,15.207,2140000000,1.322,0.457,1/13/2005 7:18,-20.66260492,1.597,8.57,53.7,31510000000,8.57,1.34,11.96,4020000000,1.04,77.16,25630000000,1400000000,9.39,1.12,29.43,1.95,1.1,7.02,5.12,11.17,1.34,11.4,26.757,1177.449951,1281000,1.49,2.918,underperform,aa,45700000,0.52,6080000000,18.43,1105618712,4.250780255,-16.41182467
8,1.611,15.207,2140000000,1.322,0.457,2/7/2005 3:48,-23.04927716,1.6,8.5,53.7,31260000000,8.5,1.33,11.89,4020000000,1.04,75.67,25580000000,1400000000,9.39,1.39,29.37,1.92,1.08,7.02,5.12,11.17,1.33,11.4,26.757,1201.719971,1184000,1.37,1.892,underperform,aa,45700000,0.52,6080000000,18.39,1107766117,6.399634666,-16.64964249
9,2.28,14.66,20950000000,1.36,48.26,9/3/2011 9:21,-193.4198611,0.87,6.18,136.8,20950000000,6.18,0.89,8.6,3840000000,0.09,59.6,20950000000,94900000,8.2,0.28,12,0.85,0.57,4.04,3.05,6.55,0.89,27,22.58,1218.890015,5373000,5.1,1.9,underperform,aa,1270000000,1.19,9350000000,13.78,1315056083,7.919861053,-185.5
10,2.01,13.97,19100000000,1.36,50.93,11/2/2011 22:04,-252.2029969,0.95,5.29,182,19100000000,5.29,0.78,10.39,3840000000,0.09,59.6,19100000000,1060000000,8.64,0.34,10,0.74,0.45,4.31,3.41,7.22,0.78,21.4,23.44,1237.900024,6146000,5.8,1.5,underperform,aa,1340000000,1.25,9310000000,11.23,1320285887,9.602996942,-242.6
11,2.01,13.97,19660000000,1.36,50.93,11/5/2011 21:29,-252.2029969,0.95,5.45,182,19660000000,5.45,0.8,10.61,3840000000,0.09,59.6,19660000000,1060000000,8.64,0.34,10,0.78,0.47,4.31,3.41,7.22,0.8,21.4,23.44,1237.900024,6146000,5.8,1.5,underperform,aa,1340000000,1.25,9310000000,11.47,1320542964,9.602996942,-242.6
12,2.1,13.97,2420000000,1.36,50.93,1/2/2012 19:42,-339.59722,0.95,4.78,182,17240000000,4.78,0.7,9.83,3840000000,0.09,59.6,17240000000,1060000000,8.64,0.47,8,0.62,0.37,4.31,3.41,7.22,0.7,21.4,23.44,1257.599976,5686000,5.4,2,underperform,aa,1340000000,1.25,9310000000,9.08,1325551326,11.34722001,-328.25
13,1.96,13.21,2190000000,1.25,55.28,5/19/2012 11:51,-345.547078,0.37,5.8,69.5,17030000000,5.8,0.68,8.6,4470000000,0.06,63.4,17030000000,39800000,5.79,1.16,8,0.64,0.36,1.59,2.23,3,0.68,0.8,23.48,1324.800049,7231000,6.8,2.7,underperform,aa,1760000000,1.65,9740000000,23.1,1337442712,17.29707804,-328.25
14,1.86,12.5,1660000000,1.2,53.21,4/23/2013 20:02,-368.0343278,0.22,7.39,58.5,16070000000,7.39,0.68,10.4,3210000000,0.08,58.1,16070000000,24400000,3.06,2.6,8,0.65,0.37,1.05,1.11,1.36,0.68,2.9,22.03,1578.780029,7271000,6.8,4.9,underperform,aa,1560000000,1.45,8920000000,36.21,1366761777,39.78432776,-328.25
15,1.86,12.5,1660000000,1.2,53.21,4/26/2013 20:55,-368.3406708,0.22,7.55,58.5,16400000000,7.55,0.7,10.88,3210000000,0.08,58.1,16400000000,24400000,3.06,2.87,8,0.67,0.38,1.05,1.11,1.36,0.7,2.9,22.03,1582.23999,8868000,8.3,4.5,underperform,aa,1560000000,1.45,8920000000,36.92,1367024115,40.09067083,-328.25
16,1.701,12.042,36100000,2.921,2.921,6/3/2004 1:20,23.51836557,0.454,21.08,6.2,6070000000,21.08,0.85,37.08,1710000000,1.06,66.12,10990000000,16900000,2.31,2.89,28.92,2.33,1.49,2.36,2.54,3.95,0.85,8.1,19.326,1116.640015,1171000,3.12,1.978,outperform,aapl,4590000000,12.09,2.921,63.7,1086240038,4.38619875,27.90456432
17,1.744,12.493,36100000,2.917,2.917,8/10/2004 2:02,30.3168564,0.557,17.9,6.2,6590000000,17.9,0.86,34.43,1710000000,1.19,64.33,11750000000,21100000,3,2.65,30.3,2.38,1.51,2.76,3.09,4.78,0.86,8.1,20.197,1079.040039,1303000,3.4,1.386,outperform,aapl,4970000000,12.8,2.917,54.4,1092117764,0.87126241,31.18811881
18,1.802,12.493,56400000,2.917,2.917,10/12/2004 5:40,41.09815597,0.557,27.68,6.2,10190000000,27.68,1.33,41.05,1710000000,1.19,67.52,14970000000,21100000,3,3.38,38.59,3.13,1.98,2.76,3.09,4.78,1.33,8.1,20.197,1121.839966,1496000,3.9,2.196,outperform,aapl,4970000000,12.8,2.917,69.28,1097574057,4.872302697,45.97045867
19,1.775,12.968,56400000,2.632,2.632,12/4/2004 14:16,55.36366358,0.709,61.54,6.2,20060000000,61.54,2.42,37.09,1710000000,1.26,72.07,24540000000,27600000,3.94,2.21,62.68,5.03,3.08,3.33,3.86,6.02,2.42,8.1,21.419,1191.369995,1940000,5.02,1.508,outperform,aapl,5460000000,13.96,2.632,88.41,1102187811,11.37213732,66.73580089
20,1.81,14.312,93400000,2.581,2.581,1/26/2005 15:16,61.26262754,1.244,34.66,300,22700000000,34.66,2.33,30.35,2260000000,1.47,71.08,29100000000,50800000,6.71,1.71,71.94,5.03,2.99,5.2,6.62,10.37,2.33,33.4,24.517,1174.069946,1438000,3.61,0.892,outperform,aapl,6450000000,15.94,2.581,57.83,1106770607,9.754887057,71.0175146
21,1.81,14.312,93400000,2.581,2.581,2/4/2005 3:07,60.74181297,1.24,32.09,300,26090000000,32.09,2.67,32.83,2260000000,1.54,68.75,31480000000,50800000,6.71,1.92,77.81,5.56,3.3,5.2,6.62,10.37,2.67,33.4,24.517,1203.030029,1559000,3.88,0.761,outperform,aapl,6450000000,15.78,2.581,62.55,1107504428,12.46214539,73.20395836
22,1.8,14.312,1490000000,2.581,2.581,3/1/2005 10:36,40.37002263,0.62,37.16,300,30210000000,37.16,3.09,18.24,2260000000,1.54,74.88,18330000000,50800000,6.71,2.06,44.86,3.11,1.86,5.2,6.63,10.37,3.09,33.4,12.259,1210.410034,3065000,3.81,0.87,outperform,aapl,6450000000,7.89,2.581,72.01,1109691363,13.15204603,53.52206866
23,0.87,135.79,52890000000,1.88,13.75,8/11/2013 2:30,36.72297098,40.11,7.06,21.8,3.95E+11,7.06,2.33,10.73,68660000000,0.04,62,3.95E+11,37750000000,29.46,0.64,454,3.4,2.47,22.28,17.2,32.11,2.33,0.9,181.4,1697.47998,2604000,2.8,2.1,outperform,aapl,42680000000,46.97,16960000000,11.33,1376202632,58.68451801,95.40748899
24,1.81,1.87,5940000000,2.21,512.61,6/19/2013 9:57,0,3.38,9.69,9.6,76110000000,9.69,4.11,13.48,13870000000,0.02,6.3,76110000000,5360000000,36.65,2.05,43,23.32,3.72,28.92,18.41,71.43,4.11,3.7,11.73,1628.930054,1140000,0.7,2.1,underperform,abbv,7480000000,4.72,15160000000,12.88,1371650258,0,0
25,0.123,36.89,35482000,1.452,0.429,1/28/2004 7:37,-10.31490852,3.998,8.01,27.9,7780000000,8.01,0.15,12.2,2250000000,2,84.35,6320000000,45696000,1.78,0.91,56.36,1.52,0.12,0.9,3.76,11.95,0.15,9.8,432.868,1128.47998,548000,4.98,2.458,underperform,abc,28322000,2.53,1770000000,14.1,1075293454,9.161608304,-1.153300213
26,0.122,37.967999,56677000,1.365,0.412,5/16/2004 19:24,-2.738545222,4.198,7.75,27.9,7710000000,7.75,0.15,13.08,2250000000,1.96,86.21,6620000000,48270000,1.78,0.95,58.97,1.55,0.13,0.93,3.94,12.09,0.15,9.8,441.08,1096.439941,540000,4.91,4.396,underperform,abc,66376000,5.91,1750000000,14.05,1084749855,6.06226915,3.323723927
27,0.071,39.075001,99210000,1.39,0.331,10/20/2004 1:31,-16.18487693,4.294,6.5,27.9,6510000000,6.5,0.12,12.58,2250000000,1.99,90.22,5860000000,49593000,1.77,0.91,52.1,1.36,0.11,0.95,4.06,12,0.12,9.8,445.314,1103.660034,753000,6.84,5.682,underperform,abc,90317000,8.03,1460000000,12.13,1098250286,6.760692673,-9.424184261
28,0.033,39.556,82508000,1.359,0.332,1/8/2005 7:45,-12.96995922,4.062,7.08,6.2,6670000000,7.08,0.13,12.87,2180000000,1.73,95,6090000000,46839000,1.63,1.08,57.9,1.47,0.11,0.88,3.89,11.09,0.13,7.1,451.509,1183.73999,809000,7.83,5.677,underperform,abc,87134000,8.29,1440000000,14.25,1105188342,14.50709221,1.537132988
29,0.024,39.708,1400000000,1.343,0.291,3/30/2005 19:52,-17.11359817,3.78,7.68,6.2,6710000000,7.68,0.13,14.07,2180000000,1.18,93.01,6160000000,43077000,1.48,1.23,55.44,1.36,0.11,0.81,3.62,10.1,0.13,7.1,460.193,1181.410034,551000,5.02,4.345,underperform,abc,52954000,4.77,1230000000,14.67,1112226762,14.28170784,-2.831890332
30,0.031,39.949001,68870000,1.258,0.23,5/26/2005 1:50,-2.320250103,3.43,17.97,6.2,14150000000,17.97,0.27,16.57,2180000000,1.06,95,6870000000,38526000,1.32,1.45,65.93,1.65,0.13,0.72,3.25,9.01,0.27,7.1,466.43,1197.619995,778000,7.54,4.636,underperform,abc,1150000000,11.07,95780000,19.23,1117086644,15.84975109,13.52950099
31,0.77,11.45,11240000000,1.1,42.86,7/8/2011 0:04,-62.57162751,2.41,8.95,18.4,11240000000,8.95,0.14,15.49,2360000000,0.71,93.2,11240000000,67931000,1.45,1.36,43,3.76,0.15,0.86,5.02,22.78,0.14,2.4,284.55,1343.800049,482000,1.8,2.2,underperform,abc,1910000000,6.98,1340000000,17.89,1310097855,29.99023216,-32.58139535
32,0.77,11.24,1700000000,1.06,66.41,2/28/2012 18:01,-86.81660518,2.59,6.78,1,9280000000,6.78,0.12,11.91,2540000000,0.73,96.5,9280000000,70824000,1.54,1.06,37,3.35,0.12,0.88,5.16,24.15,0.12,2.4,300.87,1372.180054,616000,2.4,2.7,underperform,abc,2370000000,9.19,1930000000,14.57,1330470098,32.7355241,-54.08108108
33,0.66,10.16,63204000,0.96,59.73,4/25/2013 1:02,-56.99232884,2.9,9.69,4,13850000000,9.69,0.17,15.17,2670000000,0.18,93.6,13850000000,71045000,1.58,1.52,55,5.54,0.16,0.9,5.07,27.11,0.17,5.7,327.31,1585.160034,850000,3.7,3,underperform,abc,41740000,1.81,1400000000,19.22,1366866120,53.33778339,-3.654545455
34,0.259,8.216,4480000000,1.378,0.543,9/20/2004 13:31,0,1.973,13.98,1.4,71550000000,13.98,3.63,17.1,10210000000,6.63,61.02,67000000000,3100000000,19.08,1.57,42.92,5.22,3.4,15.73,11.53,24.56,3.63,11.3,12.54,1122.199951,1038000,0.71,3.621,underperform,abt,2420000000,1.55,6970000000,21.75,1095701462,0,0
35,0.23,8.216,4480000000,1.378,0.543,10/23/2004 22:48,-3.389500883,1.999,13.35,1.4,68330000000,13.35,3.49,16.21,10210000000,6.63,60.92,63790000000,3150000000,19.08,1.52,40.86,5,3.28,16.08,11.58,24.54,3.49,11.3,12.427,1103.660034,989000,0.68,3.561,underperform,abt,2420000000,1.55,6970000000,20.44,1098586088,-1.652104599,-5.041605482
36,0.246,8.319,4250000000,1.4,0.508,1/25/2005 12:44,2.435639015,1.97,14.54,1.4,76200000000,14.54,4.03,16.7,10210000000,6.63,61.38,71530000000,3100000000,20.14,1.54,45.93,5.53,3.66,16.36,11.37,24.1,4.03,11.3,12.04,1168.410034,1079000,0.74,2.584,outperform,abt,1910000000,1.23,6580000000,23.31,1106675051,4.117811889,6.553450904
37,0.216,8.319,4250000000,1.4,0.508,2/28/2005 19:21,-1.355782103,1.97,14.64,1.4,76730000000,14.64,4.05,16.59,10210000000,6.63,67.36,71030000000,3100000000,20.14,1.69,45.61,5.56,3.81,16.36,11.37,24.1,4.05,11.3,12.04,1203.599976,711000,0.49,1.952,underperform,abt,1910000000,1.23,6580000000,23.15,1109636514,7.253611527,5.897829423
38,0.23,15.56,8970000000,1.54,62.85,3/30/2012 5:44,2.956950707,3.01,9.24,12.3,1.03E+11,9.24,2.66,11.42,23310000000,0.14,65.7,1.03E+11,4710000000,20.9,1.47,60,3.93,2.47,12.17,8.4,20,2.66,4.1,24.94,1408.469971,2161000,1.4,3.1,outperform,abt,8100000000,5.15,15410000000,20.26,1333100655,25.50971596,28.46666667
39,0.5,14.37,6200000000,1.82,35.38,8/18/2013 7:12,-74.27664312,2.51,4.58,72.4,52890000000,4.58,1.32,15.68,24750000000,0.16,67,52890000000,6190000000,22.4,1.47,34,2.44,1.36,10.02,10.72,26.48,1.32,2.5,25.52,1661.319946,1020000,0.7,1.4,underperform,abt,9390000000,6.04,7930000000,13.95,1376824365,48.04134901,-26.23529412
40,0.61,71.36,23530000000,0.72,27.7,8/11/2011 20:49,29.29233169,7.44,7.31,10.3,23530000000,7.31,1.44,8.49,5730000000,0.19,3.3,23530000000,2540000000,19.58,1.1,63,0.83,1.23,15.54,2.36,11.17,1.44,13.1,48.24,1172.640015,237000,0.8,1.3,outperform,ace,3210000000,9.51,6680000000,8.52,1313110140,8.64417625,37.93650794
41,0.79,80.9,4000000000,0.93,24.94,4/23/2013 4:24,9.794686217,7.89,10.6,4.1,33990000000,10.6,1.9,11.06,5320000000,0.34,93.1,33990000000,2710000000,17.6,1.5,89,1.1,1.68,15.09,2.19,10.44,1.9,3.3,52.78,1578.780029,223000,0.7,1.9,outperform,ace,3090000000,9.1,6860000000,11.31,1366705443,46.27272951,56.06741573
42,0.79,82.17,4340000000,0.41,27.94,5/16/2013 15:08,4.585253674,7.83,11.06,2.1,35220000000,11.06,1.95,11.37,5320000000,0.34,93.1,35220000000,2690000000,17.34,1.39,92,1.13,1.75,14.88,2.13,10.07,1.95,2.6,53.02,1650.469971,227000,0.7,1.6,outperform,ace,3750000000,11.02,7810000000,11.84,1368731337,52.91474633,57.5
43,0.035,17.375999,14673000,1.949,0.936,3/30/2005 6:50,14.5857159,1.87,13.83,581.4,3380000000,13.83,1.7,11.96,43846000,0.67,95,2580000000,10652000,3.92,3.83,41.15,2.47,1.35,5.73,3.92,11.81,1.7,33.3,31.153,1181.410034,774000,12.42,4.298,outperform,aci,32317000,5.15,1010000000,22.02,1112179828,10.61477013,25.20048603
44,1.83,16.73,8400000000,1.24,118.77,8/18/2011 1:16,-68.79843286,0.96,10.08,83.3,8400000000,10.08,2.41,5.24,79046000,0.73,89.3,8400000000,16118000,12.59,0.38,19,1.2,1.23,4.62,3.65,5.69,2.41,28.9,21.08,1140.650024,631000,5,1.1,underperform,aci,8235000,0.39,4200000000,20.59,1313644601,6.798432863,-62
45,1.702,1.57,1800000000,1.381,0.023,12/10/2004 6:26,-8.558836723,1.219,10.94,103.4,22060000000,10.94,1.46,16.9,4310000000,6.45,36.09,24570000000,69083000,11.64,1.25,26.2,16.89,1.65,8.09,16.38,54.3,1.46,2.2,15.096,1188,242000,0.28,0.523,underperform,acn,2840000000,3.03,3388000,21.49,1102677984,12.9481497,4.389312977
46,1.686,1.862,1570000000,1.45,0.023,2/10/2005 3:10,-12.00155477,1.22,10.97,38.7,21460000000,10.97,1.37,16.25,4620000000,6.38,36.29,23970000000,71276000,10.95,1.19,25.51,13.88,1.56,7.74,15.15,48.93,1.37,12.8,15.748,1197.01001,278000,0.32,0.979,underperform,acn,2870000000,3.05,4000000,21,1108023056,13.80476919,1.803214426
47,1.671,1.862,1570000000,1.45,0.023,4/4/2005 5:07,-14.31457607,1.22,10.29,38.7,20140000000,10.29,1.29,15.57,4620000000,6.38,38.48,22960000000,71276000,10.95,1.11,24.44,12.97,1.45,7.74,15.15,48.93,1.29,12.8,15.748,1176.119995,469000,0.53,1.752,underperform,acn,2870000000,3.05,4000000,20.12,1112605660,11.81866773,-2.495908347
48,0.79,5.75,29280000000,1.51,0.11,9/1/2011 16:51,38.22657681,3.15,7.64,28,29280000000,7.64,1.13,14.11,7250000000,45.71,73.7,29280000000,2110000000,12.83,1.46,53,9.32,1.33,8.12,15.56,62.34,1.13,20.6,40.45,1204.420044,1235000,1.9,1.8,outperform,acn,5260000000,8.16,462000,17.02,1314910297,14.50927225,52.73584906
49,0.82,6.05,31630000000,1.45,0.1,11/8/2011 0:40,35.50326727,3.4,7.79,37.4,31630000000,7.79,1.16,13.74,8390000000,45.71,73.7,31630000000,2280000000,12.97,1.44,58,9.63,1.36,8.33,15.52,66.97,1.16,23,42.37,1275.920044,1183000,1.9,1.9,outperform,acn,5710000000,8.9,442000,17.07,1320730819,21.30707755,56.81034483
50,0.86,5.84,3810000000,1.45,0.15,2/29/2012 0:47,27.70143418,3.55,7.93,20.1,33520000000,7.93,1.18,14.19,8390000000,0.3,81.4,33520000000,2390000000,13,1.4,59,10.21,1.36,8.38,16.43,70.63,1.18,17.1,43.97,1365.680054,851000,1.3,1.8,outperform,acn,5100000000,7.88,638000,16.81,1330494421,29.84093871,57.54237288
